#{"t_start": 1751064068.588806, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
315.0,2881,8891.9103
570.0,4083,8906.555947
575.0,3210,8923.924988
425.0,3683,8936.271838
735.0,2762,8946.014911
260.0,4603,8961.731729
260.0,4757,8978.64768
315.0,4393,8994.463778
305.0,2601,9003.02843
290.0,2941,9014.391299
535.0,4011,9030.010721
490.0,4259,9044.36275
315.0,3617,9056.926321
500.0,4313,9072.691154
190.0,3373,9084.421948
290.0,2753,9094.258229
430.0,2583,9103.36463
505.0,3026,9114.995719
255.0,3925,9129.39891
230.0,2875,9139.863882
335.0,2563,9149.036527
330.0,3107,9160.045805
165.0,3149,9171.185637
225.0,2233,9179.358893
565.0,3459,9191.702265
390.0,3729,9206.095262
465.0,4583,9223.217685
355.0,2497,9232.870185
390.0,2604,9241.962401
255.0,3313,9253.45115
375.0,4003,9268.276345
380.0,4093,9283.345627
370.0,4243,9303.332573
240.0,2957,9314.300492
600.0,3676,9326.518907
260.0,3079,9336.936993
275.0,2881,9347.592985
555.0,2583,9357.025443
340.0,3700,9370.128882
335.0,4241,9385.091839
315.0,2605,9393.846201
420.0,4068,9408.173805
470.0,3987,9422.562578
290.0,3221,9434.876917
495.0,4499,9452.651517
415.0,4814,9469.64493
560.0,2657,9478.759758
180.0,1977,9485.259491
620.0,3873,9498.72497
280.0,3079,9509.429374
730.0,2753,9519.723628
290.0,3933,9533.724913
280.0,3135,9545.388188
430.0,4045,9559.94613
490.0,3052,9571.186065
260.0,2921,9581.09936
280.0,2853,9592.097493
360.0,3315,9603.840266
365.0,3095,9614.855759
330.0,2668,9623.999538
305.0,2565,9632.427997
410.0,2967,9642.180846
235.0,3721,9658.473808
370.0,3189,9669.105256
85.0,2195,9676.459473
360.0,3427,9688.025337
470.0,3823,9699.016733
330.0,2668,9706.613672
320.0,3421,9716.232883
280.0,3313,9725.670329
365.0,3737,9736.304978
505.0,3069,9745.730774
480.0,2935,9754.094341
270.0,2713,9761.673556
655.0,3308,9771.053636
295.0,2936,9779.457315
580.0,3833,9791.015435
165.0,3589,9803.312794
335.0,2969,9811.543104
260.0,3544,9821.428569
590.0,2771,9829.218774
370.0,4045,10876.517768
365.0,2985,10884.961291
320.0,2818,10893.224103
150.0,2193,10899.264903
360.0,2497,10906.207943
330.0,2757,10913.797402
365.0,3234,10922.688744
450.0,4403,10934.906967
440.0,3991,10945.833789
495.0,3361,10955.281302
805.0,6123,11904.053534
620.0,3679,11914.862061
435.0,2815,11927.328579
475.0,2719,11935.420138
260.0,2309,11941.920835
500.0,3349,12851.907761
345.0,3597,12862.003258
380.0,3705,12872.253763
795.0,4493,12885.013188
290.0,2995,12893.2939
545.0,3351,12902.640271
360.0,2625,12909.978931
725.0,4338,13843.248942
390.0,3252,13852.795894
465.0,2985,13861.168041
270.0,3687,13871.470473
210.0,2069,13877.200566
480.0,2755,13884.738091
305.0,2989,13892.982904
235.0,3031,13901.427185
315.0,3153,13910.145989
445.0,3057,13919.304215
280.0,3399,13928.699884
315.0,2369,13935.255805
440.0,2825,13943.007179
365.0,2935,13951.130505
325.0,2561,13958.208128
340.0,2931,13966.338957
345.0,3114,13974.975072
555.0,2945,13983.224891
440.0,3137,13991.865773
270.0,3323,14001.089737
285.0,3417,14010.726888
450.0,3901,14021.501721
360.0,2545,14032.755254
430.0,3823,14043.600514
325.0,2726,14051.120502
460.0,5081,14065.016495
380.0,2711,14072.406501
745.0,3571,14082.129952
575.0,3001,14090.379216
335.0,2540,14097.502211
440.0,3520,14107.108157
315.0,2685,14114.53435
700.0,4849,14127.815155
245.0,3099,14136.290932
345.0,2879,14144.174448
240.0,2509,14150.96037
685.0,3317,14160.120568
360.0,2955,14168.162652
525.0,4663,14180.858183
305.0,2839,14188.604291
725.0,2519,14195.448777
715.0,3859,14206.014855
420.0,4041,14217.060562
370.0,2519,14223.884874
500.0,2713,14231.295447
420.0,3253,14240.143574
380.0,2600,14247.229437
215.0,3209,14256.197262
385.0,2753,14263.705656
290.0,2937,14271.819501
340.0,2697,14279.930616
725.0,4897,14293.344469
565.0,3238,14302.243516
550.0,4297,14317.90971
105.0,1581,14322.195745
320.0,2825,14329.892488
555.0,2623,14337.130515
600.0,4947,14350.60011
650.0,5913,14366.939317
295.0,3099,14375.393585
345.0,2564,14382.374057
330.0,2676,14389.776073
215.0,2517,14396.755095
590.0,2906,14404.698146
315.0,2931,14412.755353
335.0,2589,14419.819378
290.0,2773,14427.374935
315.0,2961,14435.432832
605.0,4521,14447.9416
345.0,2939,14455.972498
280.0,3549,14465.667217
245.0,3143,14475.000119
390.0,3185,14483.681218
560.0,2751,14491.191989
410.0,3365,14500.347395
375.0,3607,14510.290754
285.0,2489,14517.144895
215.0,2699,14524.47009
570.0,4985,14538.076655
495.0,4527,14550.489162
855.0,3629,14560.439238
705.0,4193,14571.903456
500.0,3171,14580.599073
800.0,4489,14597.299385
520.0,4161,14609.065762
475.0,3457,14618.69123
360.0,3931,14629.364432
445.0,3823,14640.723086
515.0,4377,14652.758662
340.0,3247,14661.68944
515.0,3111,14670.291689
685.0,4501,14682.729932
370.0,3223,14691.617119
585.0,5133,14705.80517
265.0,2829,14713.586219
570.0,3177,14722.200171
575.0,4623,14734.874714
235.0,2916,14742.633195
555.0,4667,14755.406059
370.0,3469,14764.947059
495.0,4219,14776.352539
